Registro_ANS,CNPJ,Razao_Social,Nome_Fantasia,Modalidade,Logradouro,Numero,Complemento,Bairro,Cidade,UF,CEP,DDD,Telefone,Fax,Endereco_eletronico,Representante,Cargo_Representante,Regiao_de_Comercializacao,Data_Registro_ANS
422347,3.72015E+13,ADRESS ADMINISTRADORA DE BENEFICIOS LTDA,ADRESS,Administradora de Benefícios,AVENIDA RIO BRANCO,125,15º ANDAR  SALA 1501,CENTRO,Rio de Janeiro,RJ,20040006,21,22524066,,contato@adress.com.br,LAIR ISABEL BOHRER DIEDAM,SÓCIA ADMINISTRADORA,6,9/3/2020
335657,2.04181E+12,ADVANCE PLANOS DE SAÚDE LTDA,,Medicina de Grupo,RUA DOS BURITIS,128,SALA 202 - CENTRO EMPRESARIAL ZONA SUL,JABAQUARA,São Paulo,SP,4321000,,,,planosdesaude@advanceplanos.com.br,JOSÉ JAIR JAMES DE ARRUDA PINTO,ADMINISTRADOR,4,12/28/1998
413283,3.69437E+12,AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP,,Odontologia de Grupo,ALAMEDA GRAJAÚ,60,SALA 2814,ALPHAVILLE INDUSTRIAL,Barueri,SP,6454050,1,168135656,168135656,aespodonto@aespodonto.com.br,CARLOS EUGENIO PORTO BRAGA,ADMINISTRADOR,4,3/7/2001
419907,2.28916E+13,AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA,AFFIANCE LIFE BENEFÍCIOS,Administradora de Benefícios,AVENIDA FONSO PENA ,867,23º ANDAR - SALAS 2301 A  2305,CENTRO,Belo Horizonte,MG,30130905,31,98148128,,atendimento@affiancelife.com.br,FABIANA DA SILVA CARDOSO,ADMINISTRADORA NÃO SÓCIA,4,9/23/2015
417424,1.11585E+13,AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA,AFFIX BENEFÍCIOS,Administradora de Benefícios,Alameda Santos,2441,"Conjuntos 41 e 42, 4º andar, Sala admini",Cerqueira César,São Paulo,SP,1419101,11,39952217,,pedro.rezende@affixbeneficios.com.br,PEDRO AUGUSTO BARQUETE DE REZENDE,SóCIO ADMINISTRADOR,1,7/16/2010
368920,2.03205E+13,AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL,,Autogestão,AVENIDA PURDUE,S/N,,CAMPUS DA UFV,Viçosa,MG,36570900,31,38996550,38996550,institucional@agros.org.br,CLAUDIO FURTADO SOARES,DIRETOR PRESIDENTE,4,12/18/1998
424285,5.75224E+13,AIRES OPERADORA DE SAUDE LTDA,AIRES OPERADORA DE SAUDE ,Medicina de Grupo,AVENIDA PRESIDENTE KENNEDY,1001.0,BLOCO D,PEIXINHOS,Olinda,PE,53230971,81,992463135,,jjppcc@gmail.com,JOSE PEREIRA DA COSTA,ADMINISTRADOR,,12/16/2024
417742,1.03873E+13,ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS,,Administradora de Benefícios,AVENIDA RIO BRANCO,131,10ª ANDAR - PARTE,CENTRO,Rio de Janeiro,RJ,21040006,21,25054500,,RODRIGO.PEIXOTO@ALACORO.COM.BR,ANADIA BIENHACHEWSKI FERREIRA ALVES,DIRETORA PRESIDENTE,6,12/20/2010
416975,6.25881E+12,ALCANCE SAÚDE LTDA,ALCANCE SAÚDE,Medicina de Grupo,RUA CUSSY DE ALMEIDA JUNIOR,1931,,SAO JOAO,Araçatuba,SP,16025050,,,,reginaldo.alcancesaude@gmail.com,VALDECIR DONIZETE LOCATELLI,REPRESENTANTE,6,7/3/2009
421928,3.42666E+13,ALICE OPERADORA LTDA.,ALICE,Medicina de Grupo,Avenida Rebouças ,3535,,Pinheiros,São Paulo,SP,5401400,11,41186896,,regulatorio@alice.com.br,MATHEUS HERMSDORFF MORAES,Diretor,4,11/1/2019
417289,7.67459E+12,ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA,,Administradora de Benefícios,ALAMEDA SANTOS,1357,2º e 7º ANDAR,JARDIM PAULISTA,São Paulo,SP,1419908,11,30039499,,ans@allcare.com.br,FARIAS PEREIRA DE SOUZA,DIRETOR PRESIDENTE,1,5/14/2010
417459,1.11656E+13,ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.,ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE,Administradora de Benefícios,SCS QD. 03 BLOCO A,LOTE,107/111,ASA SUL,Brasília,DF,70303907,61,30443600,30443615,ans@allcare.com.br,FARIAS PEREIRA DE SOUSA ,DIRETOR PRESIDENTE,1,7/16/2010
515,4.43963E+12,ALLIANZ SAÚDE S/A,,Seguradora Especializada em Saúde,RUA EUGÊNIO DE MEDEIROS,303,7º ANDAR - PARTE,PINHEIROS,São Paulo,SP,5425000,11,40015060,,compliance@allianz.com.br,REGINA HELENA MENEZES LOPES,DIRETORA,4,8/6/2001
423262,4.55685E+13,ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA,ALMA ODONTO,Odontologia de Grupo,RUA REGENTE FEIJO,712.0,SALA 93 EDIF JOAO PUPO,CENTRO,Campinas,SP,13013050,19,31994536,,financeiro@almaodonto.com.br,RONYSON RODRIGUES RAMOS DE OLIVEIRA,SÓCIO ADMINISTRADOR,,5/30/2022
419982,2.04593E+13,ALPHA DENTAL PLANO DE SAUDE LTDA ME,DENTALMED,Odontologia de Grupo,AVENIDA DAS SIBIPIRUNAS,2656,"1º ANDAR, SALA 03",SETOR COMERCIAL SUL,Sinop,MT,78550029,66,35310070,,,"IVAN DALL"" STELLA COSTA JÚNIOR",SóCIO GERENTE,5,12/9/2015
420255,2.21031E+13,ALTER ADMINISTRADORA DE BENEFICIOS S.A.,,Administradora de Benefícios,Alameda Santos,2441,"4º andar, cjs 41 e 42, sala 01",Cerqueira César,São Paulo,SP,1419101,11,39952217,,dpo@alter.com.br,PEDRO AUGUSTO BARQUETE DE REZENDE,ADMINISTRADOR,5,10/25/2016
344800,6.2511E+13,ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS,ALVORECER,Medicina de Grupo,ALAMEDA SANTOS,1827,11 ANDAR SALA 111,CERQUEIRA CESAR,São Paulo,SP,1419909,11,30169409,,regulatorio@bluemedsaude.com.br,SILVIO JOSÉ FERRAZ TAVARES,PRESIDENTE,4,1/15/1999
424234,5.63075E+13,AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA,AMAZIL   ,Medicina de Grupo,ESTRADA DO TINDIBA,1630,,TAQUARA,Rio de Janeiro,RJ,22740362,21,999434833,,leonardo@unimedicasaude.com,ADEBEEL DE SOUSA AVES,SOCIO ADMINISTRADOR,,12/2/2024
419052,1.6927E+13,AMAZÔNIA PLANOS DE SAÚDE LTDA,PLANO AMAZÔNIA SAÚDE,Medicina de Grupo,TRAVESSA NOVE DE JANEIRO,1295,,SÃO BRAZ,Belém,PA,66060575,91,31847650,32495686,amasaude@amazoniaplanos.com.br,GILBERTO OSAMU YAMAMOTO,REPRESENTANTE LEGAL,6,10/3/2013
423351,4.66145E+13,AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.,VIVA VIDA,Medicina de Grupo,AVENIDA CALAMA,2715,SALA 2715C,LIBERDADE ,Porto Velho,RO,76803883,69,93324444,,financeiro@operadoravivavida.com.br,ROMILDA VIANA DE PAES,SOCIO - ADMINISTRADOR,,10/3/2022
304531,1.71439E+13,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,AME-SISTEMA DE SAÚDE 24 HORAS,Medicina de Grupo,RUA SAMPAIO,376,,CENTRO,Juiz de Fora,MG,36010360,32,21015600,32155201,amesaude24h@terra.com.br,REGINA MARIA AGUIAR DE SOUZA FELLET,DIRETORA ADMINISTRATIVA E FINANCEIRA,6,12/22/1998
413330,4.25707E+12,AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA,AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA,Medicina de Grupo,RUA ARAGUAIA,13,,JACAREPAGUA,Rio de Janeiro,RJ,22745270,21,39104000,,amep.operadora@uol.com.br,ANA MARLI VIDEIRA PEIXOTO FAZZINI,SOCIA GERENTE,4,3/16/2001
394734,6.784E+13,AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA,AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.,Medicina de Grupo,RUA UBATU MIRIM,45,3º ANDAR,VILA GEA,São Paulo,SP,4692010,11,33219700,,diretoria.financeira@ameplansaude.com.br,ALI HUSSEIN  IBRAHIN TAHA,SÓCIO DIRETOR,2,12/24/1998
321338,8.46383E+13,AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A.,AMERON,Medicina de Grupo,AVENIDA CALAMA,2615,PRÉDIO,LIBERDADE,Porto Velho,RO,76803884,69,32117199,32217157,ouvidoria@ameron.com.br,PAULO ROBERTO DA SILVA,PRESIDENTE,5,12/22/1998
401081,6.8668E+13,AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ,GRUPO CEMERU SAÚDE,Medicina de Grupo,RUA FELIPE CARDOSO,1025,,SANTA CRUZ,Rio de Janeiro,RJ,23510006,21,24140013,,relacionamento.ans@cemeru.com,MAURO GOMES DIAS ,REPRESENTANTE,4,2/24/1999
418587,1.51311E+13,AMHA SAUDE S/A,AMHA SAUDE S/A,Medicina de Grupo,RUA DOUTOR LUIZ ALBERTO VIEIRA DOS SANTO,141,1º ANDAR,VILA SANTISTA,Atibaia,SP,12941030,,,,marcos.carvalho@amha.com.br,JOSE JAIR JAMES DE ARRUDA PINTO,DIRETOR ,5,10/8/2012
421731,2.91749E+13,AMHE MED ASSISTENCIA A SAUDE LTDA - EPP,AMHE MED,Medicina de Grupo,RUA PEDRO JOSÉ SENGER,230,,VILA HARO,Sorocaba,SP,18015000,15,30351030,,juridico@amhemed.com.br,MARCIO ALVES,Representante Perante ANS,6,6/13/2019
326305,2.93091E+13,AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,AMIL,Medicina de Grupo,Avenida Doutor Chucri Zaidan ,S/ Nº,"6º, 7º, 8º ,9º, 16º, 20º e 23º  andares ",VILA FRANCISCO,São Paulo,SP,4711130,21,38054491,38051088,representanteans@amil.com.br,ALEXANDRE GINO CAMARGO ZORNIG,REPRESENTANTE LEGAL,1,12/17/1998
325465,2.09469E+13,AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA,AMPARA ,Medicina de Grupo,PÇ COMENDADOR JOÃO PIO FIGUEIREDO WESTIN,107,,MOCOQUINHA,São Sebastião do Paraíso,MG,37957148,35,35393636,35393600,ampara@ampara.com.br,ANTONIO CARLOS MAFFEI BRAGIATO,DIRETOR PRESIDENTE,5,12/21/1998
422720,4.10775E+13,AMPLA PLANOS DE SAUDE LTDA,AMPLA  ,Medicina de Grupo,Av. Nilo Peçanha,50,Grupo 2501,CENTRO,Rio de Janeiro,RJ,20020906,21,39235406,,sidney.junior@amplasaude.com,SIDNEY STORCH DUTRA JUNIOR,SOCIO - ADMINISTRADOR,4,4/6/2021
423858,4.30476E+13,AMPLITUDE PLANOS DE SAUDE LTDA ,VYDA SAUDE,Medicina de Grupo,RUA INCONFIDÊNCIA ,488,SALA 201,CENTRO,Betim,MG,30411023,31,39235406,,amaral.diego@gmail.com,DIEGO ALVES AMARAL ,SOCIO ADMINISTRADOR ,6,11/14/2023
423319,4.59812E+13,ANAFE SAUDE,ANAFE SAUDE,Autogestão,QUADRA 02 LOTE 03 1º ANDAR PARTE ,9.0,JARDIM DA BARRAGEM I,JARDIM DA BARRAGEM I,Águas Lindas de Goiás,GO,72920004,,,,financeiro@anafesaude.com.br,FLAVIO MURILO PINTO SIVINI,DIRETOR- PRESIDENTE,,8/26/2022
421871,3.01378E+12,ANGELI SISTEMAS DE SAUDE S.A.,,Medicina de Grupo,RODOVIA DO CAQUI,1150,SALA PRÓXIMA AO PRONTO SOCORRO,ARAÇATUBA,Campina Grande do Sul,PR,83430000,41,35154099,,atendimento@planodesaudeangeli.com.br,PEDRO ERNESTO CARON,Presidente,5,7/29/2021
424366,5.50816E+13,AP ADMINISTRAÇÃO DE BENEFICIOS - SOCIEDADE SIMPLES UNIPESSOAL LIMITADA,AP ADMINISTRAÇÃO DE BENEFICIOS SOCIEDADE SIMPLES LIMITADA,Administradora de Benefícios,Rua Sete de Abril,277.0,conjuntos 11 e 12,Centro,São Paulo,SP,1043000,11,33506000,,contato@apbeneficios.com.br,MIGUEL NOEL MEIRELLES,administrador,,3/24/2025
422932,3.58085E+13,APLUS ADMINISTRADORA DE BENEFICIOS LTDA,,Administradora de Benefícios,AVENIDA PRESIDENTE VARGAS,534,SALA 1501,CENTRO,Rio de Janeiro,RJ,20071000,,,,contato@aplusadministradora.com.br,GABRIEL SILVA RODRIGUES,SOCIO ADMINISTRADOR/REPRE,,7/29/2021
421693,3.09025E+13,AQQUER - ADMINISTRADORA DE BENEFÍCIOS LTDA,AQQUER ADMINISTRADORA,Administradora de Benefícios,Rua Barão de Melgaço,2754,Sala 406,Centro,Cuiabá,MT,78020800,65,36244416,,aqquer@aqquer.com.br,GABRIEL DUTRA,REPRESENTANTE LEGAL,,5/24/2019
416070,1.74697E+13,ARCELORMITTAL BRASIL S/A,ARCELORMITTAL BRASIL S/A,Autogestão,AV. CARANDAI,1115,,FUNCIONARIOS,Belo Horizonte,MG,30130915,27,33481463,,beneficios@arcelormittal.com.br,PATRICIA GARIGLIO DAHER RAYA,GERENTE DE BENEFICIOS,6,5/21/2007
422941,4.17153E+13,ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.,ARL ADMINISTRADORA DE BENEFÍCIOS,Administradora de Benefícios,Rua Visconde de Taunay,601.0,,Bom Retiro,São Paulo,SP,1132000,11,32252193,,paralegalarl@gmail.com,ALVARO ANTÔNIO REGIS LEMOS,Presidente,2,8/11/2021
352152,7.43507E+11,ARM PLANOS ODONTOLÓGICOS LTDA.,ARM ODONTOLOGIA,Odontologia de Grupo,RUA LOEFGREEN ,1291,CONJUNTO 62,VILA CLEMENTINO,São Paulo,SP,4040031,11,35155400,35155400,alexandre@armodonto.onmicrosoft.com,ALEXANDRE DE SOUZA MARTINELLI,DIRETOR,4,12/21/1998
424340,5.72673E+13,ARTYODONTO BRASIL  PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA,ARTYODONTO BRASIL,Odontologia de Grupo,AVENIDA PEDRO PAES DE AZEVEDO,615,LOJA 03,GRAGERU,Aracaju,SE,49025570,79,991300040,,artyodontobrasil@artyodontobrasil.com.br,HÉLCIO CASTRO PEREIRA,DIRETOR ADMINISTRATIVO E FINANCEIRO,,2/17/2025
417769,1.20805E+13,ASSISTE ADMINISTRADORA DE BENEFÍCIOS LTDA,ASSISTE ,Administradora de Benefícios,RUA JOÃO HIPÓLITO DE AZEVEDO,18,SALA 3 - TÉRREO,CENTRO,Conceição do Jacuípe,BA,44245000,71,30381100,,bruno@assisteadministradora.com.br,BRUNO EDELWEISS,SÓCIO-ADMINISTRADOR,5,12/20/2010
423912,5.32498E+13,ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA,,Medicina de Grupo,Rua Presidente Prudente,267,2º andar,Jardim São Paulo,Guarulhos,SP,7110140,11,49665132,,administrativo@12deoutubrosaude.com.br,GISELE ENCARNAÇÃO GUERRERO,Administradora,6,3/4/2024
325236,6.68548E+13,ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA,SÃO MIGUEL SAÚDE,Medicina de Grupo,RUA ÁLVARO CORREA BORGES,43,ED. GILBERTO MAIDA MELLACE,VILA DR. EIRAS,São Paulo,SP,8010200,,,,saomiguelsaude@uol.com.br,CARLOS ALBERTO FERNANDES MELLACI,DIRETOR,4,12/21/1998
365297,1.87259E+12,ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA,RISO PLANO ODONTOLOGICO,Odontologia de Grupo,AVENIDA UNIVERSIDADE,28,QUADRA 03,COHAFUMA,São Luís,MA,65070650,,,,planoriso@planoriso.com.br,MARCIA CHRISTINA VÉRAS BARBOSA,DIRETORA TÉCNICA,6,12/22/1998
423432,4.73253E+13,"ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE",ADUFEPE SAÚDE,Autogestão,Rua Bom Pastor,430.0,Sala 11,Iputinga,Recife,PE,50670260,81,86903080,,adufepesaude@gmail.com,JOSÉ CRISTOVAM MARTINS VIEIRA ,presidente,,12/27/2022
409634,7.35653E+13,ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA,PRO-SAUDE,Medicina de Grupo,RUA SENADOR PINHEIRO MACHADO,446,,CENTRO,Ponta Grossa,PR,84040310,,,,administrador@prosaudeuepg.com.br,JEANE SILVANE ECKERT,REPRESENTANTE,6,11/5/1999
360783,5.90078E+13,ASSOCIACAO DE SAUDE HOLAMBRA,ASSOCIAÇÃO DE SAÚDE HOLAMBRA,Medicina de Grupo,ALAMEDA MAURÍCIO DE NASSAU,241,CX  POSTAL: 130,CENTRO,Holambra,SP,13825000,19,38022049,38022049,ash@holnet.com.br,MAURICIO FRANCISCO MARIA KIEVITSBOSCH,PRESIDENTE,5,2/3/1999
317632,6.2636E+13,ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP,Autogestão,AV. BRIGADEIRO LUIZ ANTONIO,4843,,JARDIM PAULISTA,São Paulo,SP,1401002,,,,ans@afresp.org.br,ALEXANDRE LANIA GONCALVES,2ª TESOUREIRO,2,12/16/1998
343129,1.31008E+13,ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA,APUB SAÚDE,Autogestão,AV. ANTONIO CARLOS MAGALHAES,3213,"EDIFÍCIO GOLDEN PLAZA,  SALA 405 a 408",PARQUE BELA VISTA,Salvador,BA,40280000,71,21039200,32473381,apubsaude@apubsaude.com.br,SILVIA MARIA LEITE DE ALMEIDA,PRESIDENTE DO CONSELHO DELIBERATIVO ,5,12/28/1998
420093,1.30832E+13,ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM,ASSEM,Autogestão,AV DOUTOR CARLOS RODRIGUES DA CRUZ,401,,CAPUCHO,Aracaju,SE,49081015,79,32342692,32342692,assem@assemse.com.br,ELIAS FERNANDO GOES FELIPE,PRESIDENTE,6,4/14/2016
406635,7.15657E+13,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA,APAS/ITAPETININGA,Autogestão,RUA DR. COUTINHO,535,,CENTRO,Itapetininga,SP,18200358,15,34721800,,contato@apasitapetininga.com.br,CARLOS ROGÉRIO DE MORAIS,REPRESENTANTE,5,7/21/1999
410608,2.0072E+11,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS),APAS - PRESIDENTE PRUDENTE,Autogestão,RUA PIONEIRO JOSÉ LORENCETE,420,,JARDIM BONGIOVANI,Presidente Prudente,SP,19050350,,,,apas@apasprudente.com.br,PATRÍCIA ELAINE MACHADO,DIRETORA-PRESIDENTE,5,1/27/2000
417599,9.2741E+13,ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL,VERTE SAUDE - AFPERGS,Filantropia,RUA DOS ANDRADAS,846,,CENTRO,Porto Alegre,RS,90020006,51,32841500,,najara.bandeira@afpergs.com.br,ROMEU FUCHS,Diretor Presidente,4,9/28/2010
333867,8.97617E+13,ASSOCIAÇAO UNISAUDE MARAU,UNISAÚDE,Medicina de Grupo,AVENIDA JULIO BORELLA,1240,CONJUNTO 406,CENTRO,Marau,RS,99150000,54,33422179,33428002,gerencia@unisaudemarau.com.br,RUDIMAR LUIS RODEGHERO,DIRETOR GERAL,6,12/31/1998
406554,8.33673E+13,ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE,GARANTIA DE SAÚDE - HOSPITAIS ADVENTISTA DE BELÉM E MANAUS,Filantropia,RODOVIA MARIO COVAS,400,,COQUEIRO,Ananindeua,PA,67110000,91,32144500,32451585,clairton@hab.org.br,JACKSON DOUGLAS DA SILVA FREIRE,GERENTE,5,7/21/1999
411752,3.84945E+12,ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE,CRUZ AZUL SAÚDE,Medicina de Grupo,RUA ALBUQUERQUE MARANHÃO,72,,CAMBUCI,São Paulo,SP,1540020,11,33885000,33885010,diretoria@maisazulsaude.com.br,EDGAR CUCCOLO,REPRESENTANTE JUNTO À ANS,4,7/21/2000
322326,2.53358E+13,ASSOCIAÇÃO BENEFICENTE CATÓLICA,HOSPITAL SANTA ISABEL,Filantropia,RUA FREI CORNELIO,200,,LAURINDO DE CASTRO,Ubá,MG,36500000,32,35391034,,planosaude@santaisabelsaude.com.br,FABIANO DOS SANTOS,PRESIDENTE,3,12/29/1998
304131,2.03025E+12,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),SAÚDE ABAS,Autogestão,RUA BARÃO DE JAGUARA,707,10º ANDAR / SALAS 101/104 - BLOCO MOZART,CENTRO,Campinas,SP,13015926,19,37335060,,falecom@abas15.org.br,EINSTEIN ROMERO DURÃES,REPRESENTANTE LEGAL,1,12/22/1998
382540,3.1241E+13,ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI,APPAI,Medicina de Grupo,RUA SENADOR DANTAS,117,"SLJ 211,212,213",CENTRO,Rio de Janeiro,RJ,20034900,21,31473242,25320563,appai@appai.org.br,JULIO CESAR DA COSTA,DIRETOR PRESIDENTE,4,1/19/1999
417947,1.09355E+13,ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO,SANTA CASA SAÚDE DE RIBEIRÃO PRETO,Medicina de Grupo,AVENIDA MEIRA JUNIOR,585,,CAMPOS ELISEOS,Ribeirão Preto,SP,14085230,,,,regulacao@santacasasauderp.com.br,FERNANDO DE TORO DIAZ,PRESIDENTE DO CONSELHO DE ADMINISTRAÇÃO,5,3/31/2011
417955,7.94502E+12,ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ,JUDICEMED,Autogestão,RUA ALBERTO FOLLONI,543,,AHÚ,Curitiba,PR,80540000,41,30171600,30171601,JUDICEMED@JUDICEMED.COM.BR,MARCEL FERREIRA DOS SANTOS,REPRESENTANTE LEGAL,3,3/31/2011
416690,7.78135E+12,ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS,AMAGIS SAÚDE,Autogestão,RUA ALBITA,194,6º ANDAR,BAIRRO CRUZEIRO,Belo Horizonte,MG,30310160,31,30793479,32233683,saude@amagis.com.br,FLÁVIA BIRCHAL DE MOURA,Vice-Presidente de Saúde,3,6/30/2008
